ds,rate_of_change,type,station,pollutant
2016-01-04 00:00:00,,ALLVAR,Manchester_Piccadilly,NOx
2016-01-11 00:00:00,0.04934910417041749,ALLVAR,Manchester_Piccadilly,NOx
2016-01-18 00:00:00,0.08065745220726939,ALLVAR,Manchester_Piccadilly,NOx
2016-01-25 00:00:00,0.08851424214686432,ALLVAR,Manchester_Piccadilly,NOx
2016-02-01 00:00:00,0.08991120181043755,ALLVAR,Manchester_Piccadilly,NOx
2016-02-08 00:00:00,0.08882128822236268,ALLVAR,Manchester_Piccadilly,NOx
2016-02-15 00:00:00,0.07353558291934803,ALLVAR,Manchester_Piccadilly,NOx
2016-02-22 00:00:00,0.05477237806294255,ALLVAR,Manchester_Piccadilly,NOx
2016-02-29 00:00:00,0.032354835255489434,ALLVAR,Manchester_Piccadilly,NOx
2016-03-07 00:00:00,0.002959746143432085,ALLVAR,Manchester_Piccadilly,NOx
2016-03-14 00:00:00,-0.031964758374485314,ALLVAR,Manchester_Piccadilly,NOx
2016-03-21 00:00:00,-0.06599203634488049,ALLVAR,Manchester_Piccadilly,NOx
2016-03-28 00:00:00,-0.09661496367245093,ALLVAR,Manchester_Piccadilly,NOx
2016-04-04 00:00:00,-0.12269841152325256,ALLVAR,Manchester_Piccadilly,NOx
2016-04-11 00:00:00,-0.1430416466592348,ALLVAR,Manchester_Piccadilly,NOx
2016-04-18 00:00:00,-0.1565423424485317,ALLVAR,Manchester_Piccadilly,NOx
2016-04-25 00:00:00,-0.16786571438760944,ALLVAR,Manchester_Piccadilly,NOx
2016-05-02 00:00:00,-0.17800231992099214,ALLVAR,Manchester_Piccadilly,NOx
2016-05-09 00:00:00,-0.1838446683343804,ALLVAR,Manchester_Piccadilly,NOx
2016-05-16 00:00:00,-0.1863728376319429,ALLVAR,Manchester_Piccadilly,NOx
2016-05-23 00:00:00,-0.1896490870436196,ALLVAR,Manchester_Piccadilly,NOx
2016-05-30 00:00:00,-0.18977839694959187,ALLVAR,Manchester_Piccadilly,NOx
2016-06-06 00:00:00,-0.17822532327460294,ALLVAR,Manchester_Piccadilly,NOx
2016-06-13 00:00:00,-0.13501340135287165,ALLVAR,Manchester_Piccadilly,NOx
2016-06-20 00:00:00,-0.1096180230678172,ALLVAR,Manchester_Piccadilly,NOx
2016-06-27 00:00:00,-0.1096180230678101,ALLVAR,Manchester_Piccadilly,NOx
2016-07-04 00:00:00,-0.1096180230678101,ALLVAR,Manchester_Piccadilly,NOx
2016-07-11 00:00:00,-0.1096180230678172,ALLVAR,Manchester_Piccadilly,NOx
2016-07-18 00:00:00,-0.1096180230678101,ALLVAR,Manchester_Piccadilly,NOx
2016-07-25 00:00:00,-0.08460617180518426,ALLVAR,Manchester_Piccadilly,NOx
2016-08-01 00:00:00,-0.08146019713753816,ALLVAR,Manchester_Piccadilly,NOx
2016-08-08 00:00:00,-0.08008329023036254,ALLVAR,Manchester_Piccadilly,NOx
2016-08-15 00:00:00,-0.07971778537407204,ALLVAR,Manchester_Piccadilly,NOx
2016-08-22 00:00:00,-0.0799333395049473,ALLVAR,Manchester_Piccadilly,NOx
2016-08-29 00:00:00,-0.07622941559489504,ALLVAR,Manchester_Piccadilly,NOx
2016-09-05 00:00:00,-0.06260826666684238,ALLVAR,Manchester_Piccadilly,NOx
2016-09-12 00:00:00,-0.03778339836743072,ALLVAR,Manchester_Piccadilly,NOx
2016-09-19 00:00:00,-0.0017354830473124139,ALLVAR,Manchester_Piccadilly,NOx
2016-09-26 00:00:00,0.04699821975042795,ALLVAR,Manchester_Piccadilly,NOx
2016-10-03 00:00:00,0.10178186795941713,ALLVAR,Manchester_Piccadilly,NOx
2016-10-10 00:00:00,0.15605639146402694,ALLVAR,Manchester_Piccadilly,NOx
2016-10-17 00:00:00,0.20733486541970336,ALLVAR,Manchester_Piccadilly,NOx
2016-10-24 00:00:00,0.23406175436009136,ALLVAR,Manchester_Piccadilly,NOx
2016-10-31 00:00:00,0.23558848969351232,ALLVAR,Manchester_Piccadilly,NOx
2016-11-07 00:00:00,0.20100668186537973,ALLVAR,Manchester_Piccadilly,NOx
2016-11-14 00:00:00,0.1333229634508868,ALLVAR,Manchester_Piccadilly,NOx
2016-11-21 00:00:00,0.04104864266498254,ALLVAR,Manchester_Piccadilly,NOx
2016-11-28 00:00:00,-0.07681284264050703,ALLVAR,Manchester_Piccadilly,NOx
2016-12-05 00:00:00,-0.16438129702078896,ALLVAR,Manchester_Piccadilly,NOx
2016-12-12 00:00:00,-0.2784406618228772,ALLVAR,Manchester_Piccadilly,NOx
2016-12-19 00:00:00,-0.3645631885798579,ALLVAR,Manchester_Piccadilly,NOx
2016-12-26 00:00:00,-0.42895477441117436,ALLVAR,Manchester_Piccadilly,NOx
2017-01-02 00:00:00,-0.4700058670553702,ALLVAR,Manchester_Piccadilly,NOx
2017-01-09 00:00:00,-0.48539560713182794,ALLVAR,Manchester_Piccadilly,NOx
2017-01-16 00:00:00,-0.4790463168784811,ALLVAR,Manchester_Piccadilly,NOx
2017-01-23 00:00:00,-0.4688912510279337,ALLVAR,Manchester_Piccadilly,NOx
2017-01-30 00:00:00,-0.397049455357795,ALLVAR,Manchester_Piccadilly,NOx
2017-02-06 00:00:00,-0.3447083178026631,ALLVAR,Manchester_Piccadilly,NOx
2017-02-13 00:00:00,-0.2537805498589094,ALLVAR,Manchester_Piccadilly,NOx
2017-02-20 00:00:00,-0.16752094442600196,ALLVAR,Manchester_Piccadilly,NOx
2017-02-27 00:00:00,-0.08554237164638323,ALLVAR,Manchester_Piccadilly,NOx
2017-03-06 00:00:00,-0.02316432309115868,ALLVAR,Manchester_Piccadilly,NOx
2017-03-13 00:00:00,0.007471379830889191,ALLVAR,Manchester_Piccadilly,NOx
2017-03-20 00:00:00,0.00714475622010724,ALLVAR,Manchester_Piccadilly,NOx
2017-03-27 00:00:00,-0.007540099063028549,ALLVAR,Manchester_Piccadilly,NOx
2017-04-03 00:00:00,-0.026636850521292388,ALLVAR,Manchester_Piccadilly,NOx
2017-04-10 00:00:00,-0.04344473973918639,ALLVAR,Manchester_Piccadilly,NOx
2017-04-17 00:00:00,-0.0437810632308242,ALLVAR,Manchester_Piccadilly,NOx
2017-04-24 00:00:00,-0.043019727632795934,ALLVAR,Manchester_Piccadilly,NOx
2017-05-01 00:00:00,-0.03775892052571095,ALLVAR,Manchester_Piccadilly,NOx
2017-05-08 00:00:00,-0.03023701304600479,ALLVAR,Manchester_Piccadilly,NOx
2017-05-15 00:00:00,-0.021696441813944034,ALLVAR,Manchester_Piccadilly,NOx
2017-05-22 00:00:00,-0.014616966982551105,ALLVAR,Manchester_Piccadilly,NOx
2017-05-29 00:00:00,-0.010897818785998936,ALLVAR,Manchester_Piccadilly,NOx
2017-06-05 00:00:00,-0.008795024991712808,ALLVAR,Manchester_Piccadilly,NOx
2017-06-12 00:00:00,-0.008788713036615547,ALLVAR,Manchester_Piccadilly,NOx
2017-06-19 00:00:00,-0.00869356696935597,ALLVAR,Manchester_Piccadilly,NOx
2017-06-26 00:00:00,-0.0092907293311697,ALLVAR,Manchester_Piccadilly,NOx
2017-07-03 00:00:00,-0.010096926315156907,ALLVAR,Manchester_Piccadilly,NOx
2017-07-10 00:00:00,-0.010826378231385547,ALLVAR,Manchester_Piccadilly,NOx
2017-07-17 00:00:00,-0.012317025963263006,ALLVAR,Manchester_Piccadilly,NOx
2017-07-24 00:00:00,-0.013810437712265866,ALLVAR,Manchester_Piccadilly,NOx
2017-07-31 00:00:00,-0.014638695040339655,ALLVAR,Manchester_Piccadilly,NOx
2017-08-07 00:00:00,-0.015935787336538,ALLVAR,Manchester_Piccadilly,NOx
2017-08-14 00:00:00,-0.016024063241538045,ALLVAR,Manchester_Piccadilly,NOx
2017-08-21 00:00:00,-0.015351896055108227,ALLVAR,Manchester_Piccadilly,NOx
2017-08-28 00:00:00,-0.01523605645972026,ALLVAR,Manchester_Piccadilly,NOx
2017-09-04 00:00:00,-0.014183571910628245,ALLVAR,Manchester_Piccadilly,NOx
2017-09-11 00:00:00,-0.011591162090006435,ALLVAR,Manchester_Piccadilly,NOx
2017-09-18 00:00:00,-0.011115255657699663,ALLVAR,Manchester_Piccadilly,NOx
2017-09-25 00:00:00,-0.010880811413962022,ALLVAR,Manchester_Piccadilly,NOx
2017-10-02 00:00:00,-0.010629632443027504,ALLVAR,Manchester_Piccadilly,NOx
2017-10-09 00:00:00,-0.010501664306239888,ALLVAR,Manchester_Piccadilly,NOx
