station,pollutant,type,model,test_r2,train_r2,full_r2,test_mse,train_mse,full_mse,params
Manchester_Piccadilly,NOx,Random Search,xgboost,0.7857618291988997,0.9612794773900514,0.9249576235487879,397.0731085577218,68.7573028101732,134.4216585086314,"{'subsample': 0.7368421052631579, 'reg_lambda': 0.022051307399030457, 'reg_alpha': 0.004328761281083057, 'n_estimators': 365, 'min_child_weight': 8.787954011821311, 'max_leaves': 250, 'max_depth': 35, 'learning_rate': 0.011274679582449466, 'colsample_bytree': 0.868421052631579, 'colsample_bylevel': 0.5526315789473684}"
Manchester_Piccadilly,NOx,Normet AutoML,xgboost,0.6968946928459275,0.7839420489673233,0.7659290491460022,561.7811526394554,383.6611946937517,419.2858343571087,"{'n_estimators': 230, 'max_leaves': 1859, 'min_child_weight': 0.00919370246966214, 'learning_rate': 0.08738277961694878, 'subsample': 0.8965632621981107, 'colsample_bylevel': 0.5800662715435184, 'colsample_bytree': 0.9453274074035851, 'reg_alpha': 0.04496844133742289, 'reg_lambda': 35.58327879129509}"
Manchester_Piccadilly,PM2.5,Random Search,randomforest,0.4964651572596809,0.5441612069781732,0.5356559259831009,36.792685161698685,38.324388934634605,38.018042607074385,"{'n_estimators': 155, 'min_samples_split': 9, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 15, 'bootstrap': True}"
Manchester_Piccadilly,PM2.5,Normet AutoML,xgboost,0.5911509021002044,0.6931303471697166,0.6749332371151571,29.87411170159964,25.799892653587616,26.614751286887188,"{'n_estimators': 230, 'max_leaves': 1859, 'min_child_weight': 0.00919370246966214, 'learning_rate': 0.08738277961694878, 'subsample': 0.8965632621981107, 'colsample_bylevel': 0.5800662715435184, 'colsample_bytree': 0.9453274074035851, 'reg_alpha': 0.04496844133742289, 'reg_lambda': 35.58327879129509}"
Manchester_Piccadilly,O3,Random Search,xgboost,0.7767018657299793,0.8102766489333182,0.8036092817235233,98.42320010054438,84.36727708253417,87.17851282740862,"{'subsample': 0.9473684210526315, 'reg_lambda': 0.15556761439304723, 'reg_alpha': 453.4878508128582, 'n_estimators': 490, 'min_child_weight': 8.951664721378293, 'max_leaves': 360, 'max_depth': 5, 'learning_rate': 0.07616641716552892, 'colsample_bytree': 0.7894736842105263, 'colsample_bylevel': 0.6842105263157895}"
Manchester_Piccadilly,O3,Normet AutoML,xgboost,0.7793228184553421,0.8170489851269247,0.8095571749982353,97.26796181167222,81.35571545382743,84.53822262074235,"{'n_estimators': 230, 'max_leaves': 1859, 'min_child_weight': 0.00919370246966214, 'learning_rate': 0.08738277961694878, 'subsample': 0.8965632621981107, 'colsample_bylevel': 0.5800662715435184, 'colsample_bytree': 0.9453274074035851, 'reg_alpha': 0.04496844133742289, 'reg_lambda': 35.58327879129509}"
Manchester_Sharston,NOx,Random Search,xgboost,0.6415689520699352,0.7429516860348435,0.7209326223741424,459.9449760656652,296.98798539283274,329.57998314100877,"{'subsample': 0.7368421052631579, 'reg_lambda': 278.25594022071255, 'reg_alpha': 385.3528593710528, 'n_estimators': 145, 'min_child_weight': 0.7273165113001455, 'max_leaves': 980, 'max_depth': 25, 'learning_rate': 0.12194734366967383, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.7105263157894737}"
Manchester_Sharston,NOx,Normet AutoML,xgboost,0.6964698840487181,0.787356998975036,0.7676165692286021,389.4951420158791,245.68306054265975,274.4460060056499,"{'n_estimators': 280, 'max_leaves': 543, 'min_child_weight': 0.0013939247455765512, 'learning_rate': 0.12471198291053645, 'subsample': 1.0, 'colsample_bylevel': 0.4616698214106152, 'colsample_bytree': 0.8866722108597624, 'reg_alpha': 0.01461218135293743, 'reg_lambda': 34.953965899932705}"
Manchester_Sharston,O3,Random Search,xgboost,0.8020110643074037,0.8548943486474839,0.8444667828767294,109.15127015872919,81.40465859561819,86.95408300417283,"{'subsample': 0.6052631578947368, 'reg_lambda': 123.2846739442066, 'reg_alpha': 0.4862601580065354, 'n_estimators': 355, 'min_child_weight': 8.62723729246144, 'max_leaves': 690, 'max_depth': 10, 'learning_rate': 0.0475723613918789, 'colsample_bytree': 0.9736842105263157, 'colsample_bylevel': 0.5263157894736842}"
Manchester_Sharston,O3,Normet AutoML,xgboost,0.7905367076425587,0.8421377055781686,0.8319632365643521,115.4770812442875,88.56116948409478,93.94445087543772,"{'n_estimators': 232, 'max_leaves': 2182, 'min_child_weight': 0.0302105776810601, 'learning_rate': 0.12940275483183844, 'subsample': 0.7578213015985156, 'colsample_bylevel': 0.5677712356205583, 'colsample_bytree': 0.9830258546791366, 'reg_alpha': 0.9611485879617946, 'reg_lambda': 18.900579535399284}"
Salford_Eccles,NOx,Random Search,xgboost,0.7859364778429061,0.9258538391670985,0.898713126590676,358.53395363690896,129.00699789262808,174.91238904148426,"{'subsample': 0.763157894736842, 'reg_lambda': 54.62277217684337, 'reg_alpha': 0.003125715849688235, 'n_estimators': 285, 'min_child_weight': 1.4398479528760066, 'max_leaves': 360, 'max_depth': 40, 'learning_rate': 0.03557150206821386, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.7105263157894737}"
Salford_Eccles,NOx,Normet AutoML,xgboost,0.7544460432635021,0.8437487818291509,0.8264261809995752,411.2771295770513,271.86168976051187,299.7447777238197,"{'n_estimators': 252, 'max_leaves': 557, 'min_child_weight': 0.037857674365840865, 'learning_rate': 0.1669179286431122, 'subsample': 0.8789418591919999, 'colsample_bylevel': 0.665623326540261, 'colsample_bytree': 0.9534244013077435, 'reg_alpha': 0.23602666586970913, 'reg_lambda': 65.1282332452815}"
Salford_Eccles,PM2.5,Random Search,xgboost,0.6019556044090385,0.5750551657316385,0.5794637383432428,27.691370902923826,37.822209246337536,35.79604157765478,"{'subsample': 0.7368421052631579, 'reg_lambda': 7220.8090183854565, 'reg_alpha': 0.9326033468832199, 'n_estimators': 475, 'min_child_weight': 8.951664721378293, 'max_leaves': 380, 'max_depth': 5, 'learning_rate': 0.3303985069871858, 'colsample_bytree': 0.7368421052631579, 'colsample_bylevel': 0.868421052631579}"
Salford_Eccles,PM2.5,Normet AutoML,xgboost,0.6627864711702715,0.7474342885209115,0.733604552031906,23.459455788704613,22.47960774593047,22.675577354485295,"{'n_estimators': 151, 'max_leaves': 1480, 'min_child_weight': 1.629188516817667, 'learning_rate': 0.1297611603246274, 'subsample': 0.9891898816412091, 'colsample_bylevel': 0.9804745606618869, 'colsample_bytree': 0.9198888129325407, 'reg_alpha': 0.0176438653116443, 'reg_lambda': 19.56959136011807}"
Salford_Glazebury,NOx,Random Search,xgboost,0.8021286984021158,0.9893040234192557,0.9505696065272274,366.73844126861314,18.99319665752142,88.54351082103801,"{'subsample': 0.7894736842105263, 'reg_lambda': 0.008302175681319742, 'reg_alpha': 89.02150854450375, 'n_estimators': 295, 'min_child_weight': 0.06480719826311968, 'max_leaves': 150, 'max_depth': 70, 'learning_rate': 0.04958962013837214, 'colsample_bytree': 0.7368421052631579, 'colsample_bylevel': 0.8421052631578947}"
Salford_Glazebury,NOx,Normet AutoML,xgboost,0.7038874677362923,0.8028149833506,0.7823434117573473,548.8206103944447,350.1479056976453,389.8831694906306,"{'n_estimators': 182, 'max_leaves': 507, 'min_child_weight': 0.03469842703470486, 'learning_rate': 0.09050333780681966, 'subsample': 0.8788794424065157, 'colsample_bylevel': 0.7372635897769984, 'colsample_bytree': 0.9535003009271207, 'reg_alpha': 0.09353166342028453, 'reg_lambda': 3.6044671382295674}"
Salford_Glazebury,O3,Random Search,xgboost,0.7855996684891329,0.8347927490230515,0.8250236717287482,94.50131233250619,73.46531589734138,77.67259172204628,"{'subsample': 0.6842105263157895, 'reg_lambda': 64.28073117284319, 'reg_alpha': 453.4878508128582, 'n_estimators': 485, 'min_child_weight': 1.1537832996296606, 'max_leaves': 460, 'max_depth': 40, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.868421052631579}"
Salford_Glazebury,O3,Normet AutoML,xgboost,0.7899230207891155,0.8327108418937923,0.8242138014610983,92.59570676209968,74.39111040100572,78.03209590908968,"{'n_estimators': 217, 'max_leaves': 507, 'min_child_weight': 0.11413167645785971, 'learning_rate': 0.08782288949819442, 'subsample': 0.8788794424065157, 'colsample_bylevel': 0.7372635897769984, 'colsample_bytree': 0.9196967660303981, 'reg_alpha': 0.04210220405979678, 'reg_lambda': 8.530082225396875}"
Bury_Whitefield,NOx,Random Search,xgboost,0.7630051895519977,0.8417929469051597,0.82624427385002,396.58648371916746,269.2053696205502,294.682907070689,"{'subsample': 0.6052631578947368, 'reg_lambda': 123.2846739442066, 'reg_alpha': 0.4862601580065354, 'n_estimators': 355, 'min_child_weight': 8.62723729246144, 'max_leaves': 690, 'max_depth': 10, 'learning_rate': 0.0475723613918789, 'colsample_bytree': 0.9736842105263157, 'colsample_bylevel': 0.5263157894736842}"
Bury_Whitefield,NOx,Normet AutoML,xgboost,0.7680603393778038,0.841524167014294,0.8270261679913742,388.12720948316104,269.6627259043039,293.3568452268514,"{'n_estimators': 342, 'max_leaves': 1003, 'min_child_weight': 0.3207898446328077, 'learning_rate': 0.10287522877510608, 'subsample': 0.8033138573096044, 'colsample_bylevel': 0.9893291878144851, 'colsample_bytree': 0.8367791077008933, 'reg_alpha': 0.004122495096813103, 'reg_lambda': 27.523443793275145}"
