params,mean_test_score,rank_test_score,Station,Pollutant,Model
"{'subsample': 0.6052631578947368, 'reg_lambda': 123.2846739442066, 'reg_alpha': 0.4862601580065354, 'n_estimators': 355, 'min_child_weight': 8.62723729246144, 'max_leaves': 690, 'max_depth': 10, 'learning_rate': 0.0475723613918789, 'colsample_bytree': 0.9736842105263157, 'colsample_bylevel': 0.5263157894736842}",0.5307646179121333,1,Bury_Whitefield,NOx,xgboost
"{'n_estimators': 475, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 55, 'bootstrap': True}",0.4770489799685074,1,Bury_Whitefield,NOx,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 0.022051307399030457, 'reg_alpha': 0.004328761281083057, 'n_estimators': 365, 'min_child_weight': 8.787954011821311, 'max_leaves': 250, 'max_depth': 35, 'learning_rate': 0.011274679582449466, 'colsample_bytree': 0.868421052631579, 'colsample_bylevel': 0.5526315789473684}",0.5207160161037555,1,Manchester_Piccadilly,NOx,xgboost
"{'n_estimators': 500, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 55, 'bootstrap': True}",0.4792062286498574,1,Manchester_Piccadilly,NOx,randomforest
"{'subsample': 0.9473684210526315, 'reg_lambda': 0.15556761439304723, 'reg_alpha': 453.4878508128582, 'n_estimators': 490, 'min_child_weight': 8.951664721378293, 'max_leaves': 360, 'max_depth': 5, 'learning_rate': 0.07616641716552892, 'colsample_bytree': 0.7894736842105263, 'colsample_bylevel': 0.6842105263157895}",0.6209781375052816,1,Manchester_Piccadilly,O3,xgboost
"{'n_estimators': 500, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 55, 'bootstrap': True}",0.5878648582838639,1,Manchester_Piccadilly,O3,randomforest
"{'n_estimators': 155, 'min_samples_split': 9, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 15, 'bootstrap': True}",0.2356022715051647,1,Manchester_Piccadilly,PM2.5,randomforest
"{'subsample': 0.763157894736842, 'reg_lambda': 33.51602650938841, 'reg_alpha': 0.058570208180566644, 'n_estimators': 170, 'min_child_weight': 2.8504263208534346, 'max_leaves': 180, 'max_depth': 50, 'learning_rate': 0.018558252277555188, 'colsample_bytree': 0.9736842105263157, 'colsample_bylevel': 0.5263157894736842}",0.2353867511468714,1,Manchester_Piccadilly,PM2.5,xgboost
"{'subsample': 0.7368421052631579, 'reg_lambda': 278.25594022071255, 'reg_alpha': 385.3528593710528, 'n_estimators': 145, 'min_child_weight': 0.7273165113001455, 'max_leaves': 980, 'max_depth': 25, 'learning_rate': 0.12194734366967383, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.7105263157894737}",0.4481597901819188,1,Manchester_Sharston,NOx,xgboost
"{'n_estimators': 215, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 35, 'bootstrap': True}",0.4064527947240668,1,Manchester_Sharston,NOx,randomforest
"{'subsample': 0.6052631578947368, 'reg_lambda': 123.2846739442066, 'reg_alpha': 0.4862601580065354, 'n_estimators': 355, 'min_child_weight': 8.62723729246144, 'max_leaves': 690, 'max_depth': 10, 'learning_rate': 0.0475723613918789, 'colsample_bytree': 0.9736842105263157, 'colsample_bylevel': 0.5263157894736842}",0.6407153572494371,1,Manchester_Sharston,O3,xgboost
"{'n_estimators': 485, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",0.6161440630624085,1,Manchester_Sharston,O3,randomforest
"{'subsample': 0.763157894736842, 'reg_lambda': 54.62277217684337, 'reg_alpha': 0.003125715849688235, 'n_estimators': 285, 'min_child_weight': 1.4398479528760066, 'max_leaves': 360, 'max_depth': 40, 'learning_rate': 0.03557150206821386, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.7105263157894737}",0.5058821395438089,1,Salford_Eccles,NOx,xgboost
"{'n_estimators': 470, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_features': 'log2', 'max_depth': 60, 'bootstrap': True}",0.4637124946674776,1,Salford_Eccles,NOx,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 7220.8090183854565, 'reg_alpha': 0.9326033468832199, 'n_estimators': 475, 'min_child_weight': 8.951664721378293, 'max_leaves': 380, 'max_depth': 5, 'learning_rate': 0.3303985069871858, 'colsample_bytree': 0.7368421052631579, 'colsample_bylevel': 0.868421052631579}",0.2961458246213224,1,Salford_Eccles,PM2.5,xgboost
"{'n_estimators': 55, 'min_samples_split': 3, 'min_samples_leaf': 19, 'max_features': 'log2', 'max_depth': 35, 'bootstrap': True}",0.2617471136750459,1,Salford_Eccles,PM2.5,randomforest
"{'subsample': 0.7894736842105263, 'reg_lambda': 0.008302175681319742, 'reg_alpha': 89.02150854450375, 'n_estimators': 295, 'min_child_weight': 0.06480719826311968, 'max_leaves': 150, 'max_depth': 70, 'learning_rate': 0.04958962013837214, 'colsample_bytree': 0.7368421052631579, 'colsample_bylevel': 0.8421052631578947}",0.5018830020497125,1,Salford_Glazebury,NOx,xgboost
"{'n_estimators': 450, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.4634103784244565,1,Salford_Glazebury,NOx,randomforest
"{'subsample': 0.6842105263157895, 'reg_lambda': 64.28073117284319, 'reg_alpha': 453.4878508128582, 'n_estimators': 485, 'min_child_weight': 1.1537832996296606, 'max_leaves': 460, 'max_depth': 40, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.868421052631579}",0.6636706047517047,1,Salford_Glazebury,O3,xgboost
"{'n_estimators': 370, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",0.6471997684065467,1,Salford_Glazebury,O3,randomforest
"{'subsample': 0.763157894736842, 'reg_lambda': 54.62277217684337, 'reg_alpha': 0.003125715849688235, 'n_estimators': 285, 'min_child_weight': 1.4398479528760066, 'max_leaves': 360, 'max_depth': 40, 'learning_rate': 0.03557150206821386, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.7105263157894737}",0.5235921555462207,2,Bury_Whitefield,NOx,xgboost
"{'n_estimators': 485, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",0.4767865496142738,2,Bury_Whitefield,NOx,randomforest
"{'subsample': 0.7894736842105263, 'reg_lambda': 28.48035868435799, 'reg_alpha': 0.21544346900318823, 'n_estimators': 495, 'min_child_weight': 0.16010644613183178, 'max_leaves': 860, 'max_depth': 10, 'learning_rate': 0.03657010880777491, 'colsample_bytree': 0.5526315789473684, 'colsample_bylevel': 1.0}",0.5164342999904704,2,Manchester_Piccadilly,NOx,xgboost
"{'n_estimators': 455, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': True}",0.4791597867589668,2,Manchester_Piccadilly,NOx,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 0.022051307399030457, 'reg_alpha': 0.004328761281083057, 'n_estimators': 365, 'min_child_weight': 8.787954011821311, 'max_leaves': 250, 'max_depth': 35, 'learning_rate': 0.011274679582449466, 'colsample_bytree': 0.868421052631579, 'colsample_bylevel': 0.5526315789473684}",0.6187349412278482,2,Manchester_Piccadilly,O3,xgboost
"{'n_estimators': 455, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': True}",0.587495879087,2,Manchester_Piccadilly,O3,randomforest
"{'n_estimators': 400, 'min_samples_split': 16, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.2325703460427016,2,Manchester_Piccadilly,PM2.5,randomforest
"{'subsample': 0.5263157894736842, 'reg_lambda': 0.25353644939701114, 'reg_alpha': 739.0722033525775, 'n_estimators': 415, 'min_child_weight': 0.007616641716552892, 'max_leaves': 800, 'max_depth': 5, 'learning_rate': 0.008200260619934131, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5526315789473684}",0.219811723040898,2,Manchester_Piccadilly,PM2.5,xgboost
"{'subsample': 0.631578947368421, 'reg_lambda': 1204.503540258781, 'reg_alpha': 0.001, 'n_estimators': 435, 'min_child_weight': 0.13560151105656332, 'max_leaves': 980, 'max_depth': 30, 'learning_rate': 0.07616641716552891, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7894736842105263}",0.4475796445416592,2,Manchester_Sharston,NOx,xgboost
"{'n_estimators': 500, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 55, 'bootstrap': True}",0.4056094410285872,2,Manchester_Sharston,NOx,randomforest
"{'subsample': 0.763157894736842, 'reg_lambda': 54.62277217684337, 'reg_alpha': 0.003125715849688235, 'n_estimators': 285, 'min_child_weight': 1.4398479528760066, 'max_leaves': 360, 'max_depth': 40, 'learning_rate': 0.03557150206821386, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.7105263157894737}",0.6403010673328211,2,Manchester_Sharston,O3,xgboost
"{'n_estimators': 415, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.6159791018381793,2,Manchester_Sharston,O3,randomforest
"{'subsample': 0.8421052631578947, 'reg_lambda': 4.750810162102793, 'reg_alpha': 0.25353644939701114, 'n_estimators': 170, 'min_child_weight': 0.38830980490596045, 'max_leaves': 210, 'max_depth': 30, 'learning_rate': 0.03184241601504653, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0}",0.5008433359839934,2,Salford_Eccles,NOx,xgboost
"{'n_estimators': 345, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 'log2', 'max_depth': 35, 'bootstrap': True}",0.4635977536902073,2,Salford_Eccles,NOx,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 278.25594022071255, 'reg_alpha': 385.3528593710528, 'n_estimators': 145, 'min_child_weight': 0.7273165113001455, 'max_leaves': 980, 'max_depth': 25, 'learning_rate': 0.12194734366967383, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.7105263157894737}",0.2910389607434999,2,Salford_Eccles,PM2.5,xgboost
"{'n_estimators': 145, 'min_samples_split': 6, 'min_samples_leaf': 18, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",0.2498632996861564,2,Salford_Eccles,PM2.5,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 0.022051307399030454, 'reg_alpha': 0.004328761281083057, 'n_estimators': 365, 'min_child_weight': 8.787954011821311, 'max_leaves': 250, 'max_depth': 35, 'learning_rate': 0.011274679582449468, 'colsample_bytree': 0.868421052631579, 'colsample_bylevel': 0.5526315789473684}",0.4994714108922743,2,Salford_Glazebury,NOx,xgboost
"{'n_estimators': 410, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 55, 'bootstrap': True}",0.4633507075400191,2,Salford_Glazebury,NOx,randomforest
"{'subsample': 0.6052631578947368, 'reg_lambda': 123.2846739442066, 'reg_alpha': 0.4862601580065354, 'n_estimators': 355, 'min_child_weight': 8.62723729246144, 'max_leaves': 690, 'max_depth': 10, 'learning_rate': 0.0475723613918789, 'colsample_bytree': 0.9736842105263157, 'colsample_bylevel': 0.5263157894736842}",0.6634582503314423,2,Salford_Glazebury,O3,xgboost
"{'n_estimators': 455, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': True}",0.6468864648231045,2,Salford_Glazebury,O3,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 7220.8090183854565, 'reg_alpha': 0.9326033468832199, 'n_estimators': 475, 'min_child_weight': 8.951664721378293, 'max_leaves': 380, 'max_depth': 5, 'learning_rate': 0.3303985069871858, 'colsample_bytree': 0.7368421052631579, 'colsample_bylevel': 0.868421052631579}",0.5215529657056721,3,Bury_Whitefield,NOx,xgboost
"{'n_estimators': 395, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': True}",0.4761813553563385,3,Bury_Whitefield,NOx,randomforest
"{'subsample': 0.8421052631578947, 'reg_lambda': 4.750810162102793, 'reg_alpha': 0.25353644939701114, 'n_estimators': 170, 'min_child_weight': 0.3883098049059605, 'max_leaves': 210, 'max_depth': 30, 'learning_rate': 0.03184241601504653, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0}",0.5155520351665893,3,Manchester_Piccadilly,NOx,xgboost
"{'n_estimators': 395, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': True}",0.4787189033595879,3,Manchester_Piccadilly,NOx,randomforest
"{'subsample': 0.8157894736842105, 'reg_lambda': 0.0011768119524349979, 'reg_alpha': 3.4304692863149158, 'n_estimators': 270, 'min_child_weight': 0.008667138797389234, 'max_leaves': 150, 'max_depth': 25, 'learning_rate': 0.03865221162631264, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5789473684210527}",0.6181552161043223,3,Manchester_Piccadilly,O3,xgboost
"{'n_estimators': 475, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 55, 'bootstrap': True}",0.5874083973306192,3,Manchester_Piccadilly,O3,randomforest
"{'n_estimators': 170, 'min_samples_split': 6, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 55, 'bootstrap': True}",0.2309194579378874,3,Manchester_Piccadilly,PM2.5,randomforest
"{'subsample': 0.868421052631579, 'reg_lambda': 64.28073117284319, 'reg_alpha': 0.015922827933410922, 'n_estimators': 345, 'min_child_weight': 0.6631981202212669, 'max_leaves': 250, 'max_depth': 10, 'learning_rate': 0.009549044557518078, 'colsample_bytree': 0.9210526315789473, 'colsample_bylevel': 0.5789473684210527}",0.2194600122624138,3,Manchester_Piccadilly,PM2.5,xgboost
"{'subsample': 0.6842105263157895, 'reg_lambda': 0.35111917342151305, 'reg_alpha': 278.25594022071255, 'n_estimators': 270, 'min_child_weight': 0.00489078709413959, 'max_leaves': 260, 'max_depth': 10, 'learning_rate': 0.03228628202536732, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.9736842105263157}",0.4469674505664023,3,Manchester_Sharston,NOx,xgboost
"{'n_estimators': 370, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",0.4054373548684148,3,Manchester_Sharston,NOx,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 0.022051307399030454, 'reg_alpha': 0.004328761281083057, 'n_estimators': 365, 'min_child_weight': 8.787954011821311, 'max_leaves': 250, 'max_depth': 35, 'learning_rate': 0.011274679582449468, 'colsample_bytree': 0.868421052631579, 'colsample_bylevel': 0.5526315789473684}",0.6402281265946965,3,Manchester_Sharston,O3,xgboost
"{'n_estimators': 455, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': True}",0.615898988011986,3,Manchester_Sharston,O3,randomforest
"{'subsample': 0.6842105263157895, 'reg_lambda': 0.35111917342151305, 'reg_alpha': 278.25594022071255, 'n_estimators': 270, 'min_child_weight': 0.00489078709413959, 'max_leaves': 260, 'max_depth': 10, 'learning_rate': 0.03228628202536732, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.9736842105263157}",0.498854829453667,3,Salford_Eccles,NOx,xgboost
"{'n_estimators': 385, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.463552690127915,3,Salford_Eccles,NOx,randomforest
"{'subsample': 0.6052631578947368, 'reg_lambda': 1204.503540258781, 'reg_alpha': 0.09545484566618337, 'n_estimators': 295, 'min_child_weight': 0.2493409369951878, 'max_leaves': 320, 'max_depth': 10, 'learning_rate': 0.03365534975507094, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.6052631578947368}",0.2864990692204747,3,Salford_Eccles,PM2.5,xgboost
"{'n_estimators': 140, 'min_samples_split': 20, 'min_samples_leaf': 18, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",0.2470642331887393,3,Salford_Eccles,PM2.5,randomforest
"{'subsample': 0.8157894736842105, 'reg_lambda': 0.0011768119524349979, 'reg_alpha': 3.4304692863149153, 'n_estimators': 270, 'min_child_weight': 0.008667138797389234, 'max_leaves': 150, 'max_depth': 25, 'learning_rate': 0.03865221162631263, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5789473684210527}",0.4958686095033114,3,Salford_Glazebury,NOx,xgboost
"{'n_estimators': 425, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 25, 'bootstrap': True}",0.4631086553692374,3,Salford_Glazebury,NOx,randomforest
"{'subsample': 0.631578947368421, 'reg_lambda': 145.082877849594, 'reg_alpha': 739.0722033525776, 'n_estimators': 500, 'min_child_weight': 0.44186599563859413, 'max_leaves': 310, 'max_depth': 30, 'learning_rate': 0.04563716281924759, 'colsample_bytree': 0.8947368421052632, 'colsample_bylevel': 0.7368421052631579}",0.6634536913547632,3,Salford_Glazebury,O3,xgboost
"{'n_estimators': 485, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",0.646755558426086,3,Salford_Glazebury,O3,randomforest
"{'subsample': 0.868421052631579, 'reg_lambda': 123.2846739442066, 'reg_alpha': 0.01873817422860384, 'n_estimators': 345, 'min_child_weight': 0.16308906755493324, 'max_leaves': 840, 'max_depth': 55, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.6578947368421053}",0.5215475618049241,4,Bury_Whitefield,NOx,xgboost
"{'n_estimators': 460, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 65, 'bootstrap': True}",0.4761371851881334,4,Bury_Whitefield,NOx,randomforest
"{'subsample': 0.6842105263157895, 'reg_lambda': 64.28073117284319, 'reg_alpha': 453.4878508128582, 'n_estimators': 485, 'min_child_weight': 1.1537832996296609, 'max_leaves': 460, 'max_depth': 40, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.868421052631579}",0.5154404043018539,4,Manchester_Piccadilly,NOx,xgboost
"{'n_estimators': 475, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 55, 'bootstrap': True}",0.478392958825138,4,Manchester_Piccadilly,NOx,randomforest
"{'subsample': 0.6052631578947368, 'reg_lambda': 123.28467394420659, 'reg_alpha': 0.4862601580065353, 'n_estimators': 355, 'min_child_weight': 8.62723729246144, 'max_leaves': 690, 'max_depth': 10, 'learning_rate': 0.0475723613918789, 'colsample_bytree': 0.9736842105263157, 'colsample_bylevel': 0.5263157894736842}",0.6127133251050083,4,Manchester_Piccadilly,O3,xgboost
"{'n_estimators': 450, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.5871629461070828,4,Manchester_Piccadilly,O3,randomforest
"{'n_estimators': 465, 'min_samples_split': 5, 'min_samples_leaf': 19, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",0.2307145102147724,4,Manchester_Piccadilly,PM2.5,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 278.2559402207126, 'reg_alpha': 385.3528593710527, 'n_estimators': 145, 'min_child_weight': 0.7273165113001454, 'max_leaves': 980, 'max_depth': 25, 'learning_rate': 0.12194734366967383, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.7105263157894737}",0.2165247753110127,4,Manchester_Piccadilly,PM2.5,xgboost
"{'subsample': 0.763157894736842, 'reg_lambda': 54.62277217684337, 'reg_alpha': 0.003125715849688235, 'n_estimators': 285, 'min_child_weight': 1.4398479528760066, 'max_leaves': 360, 'max_depth': 40, 'learning_rate': 0.03557150206821386, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.7105263157894737}",0.4467059519843671,4,Manchester_Sharston,NOx,xgboost
"{'n_estimators': 460, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 65, 'bootstrap': True}",0.4052668305726463,4,Manchester_Sharston,NOx,randomforest
"{'subsample': 0.6842105263157895, 'reg_lambda': 64.28073117284319, 'reg_alpha': 453.4878508128582, 'n_estimators': 485, 'min_child_weight': 1.1537832996296606, 'max_leaves': 460, 'max_depth': 40, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.868421052631579}",0.6399981455250077,4,Manchester_Sharston,O3,xgboost
"{'n_estimators': 500, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 55, 'bootstrap': True}",0.6158892149815327,4,Manchester_Sharston,O3,randomforest
"{'subsample': 0.7894736842105263, 'reg_lambda': 28.480358684357988, 'reg_alpha': 0.21544346900318823, 'n_estimators': 495, 'min_child_weight': 0.16010644613183178, 'max_leaves': 860, 'max_depth': 10, 'learning_rate': 0.03657010880777491, 'colsample_bytree': 0.5526315789473684, 'colsample_bylevel': 1.0}",0.4986639099416532,4,Salford_Eccles,NOx,xgboost
"{'n_estimators': 375, 'min_samples_split': 14, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 45, 'bootstrap': True}",0.4634934115847858,4,Salford_Eccles,NOx,randomforest
"{'subsample': 0.631578947368421, 'reg_lambda': 1204.503540258781, 'reg_alpha': 0.001, 'n_estimators': 435, 'min_child_weight': 0.13560151105656332, 'max_leaves': 980, 'max_depth': 30, 'learning_rate': 0.07616641716552891, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7894736842105263}",0.2862854232676969,4,Salford_Eccles,PM2.5,xgboost
"{'n_estimators': 460, 'min_samples_split': 19, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': 70, 'bootstrap': True}",0.2423952226531594,4,Salford_Eccles,PM2.5,randomforest
"{'subsample': 0.9473684210526315, 'reg_lambda': 0.15556761439304723, 'reg_alpha': 453.4878508128582, 'n_estimators': 490, 'min_child_weight': 8.951664721378293, 'max_leaves': 360, 'max_depth': 5, 'learning_rate': 0.07616641716552891, 'colsample_bytree': 0.7894736842105263, 'colsample_bylevel': 0.6842105263157895}",0.4955567558647285,4,Salford_Glazebury,NOx,xgboost
"{'n_estimators': 450, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 35, 'bootstrap': True}",0.4629068158189054,4,Salford_Glazebury,NOx,randomforest
"{'subsample': 0.6842105263157895, 'reg_lambda': 0.35111917342151305, 'reg_alpha': 278.25594022071255, 'n_estimators': 270, 'min_child_weight': 0.00489078709413959, 'max_leaves': 260, 'max_depth': 10, 'learning_rate': 0.03228628202536732, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.9736842105263157}",0.6626548670927852,4,Salford_Glazebury,O3,xgboost
"{'n_estimators': 500, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 55, 'bootstrap': True}",0.6467486721261345,4,Salford_Glazebury,O3,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 0.022051307399030454, 'reg_alpha': 0.004328761281083057, 'n_estimators': 365, 'min_child_weight': 8.787954011821311, 'max_leaves': 250, 'max_depth': 35, 'learning_rate': 0.011274679582449468, 'colsample_bytree': 0.868421052631579, 'colsample_bylevel': 0.5526315789473684}",0.521069279206768,5,Bury_Whitefield,NOx,xgboost
"{'n_estimators': 370, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",0.4760321670186705,5,Bury_Whitefield,NOx,randomforest
